"비경취업희망여부","비경취업가능성여부","기타활동사항_4주내비구직사유코드","기타활동사항_지난1년내구직활동유무","조사년월","연령5세단위코드","가중값","경제활동상태코드"
1,1,01,1,202101,01,0001224011,3
1,1,01,1,202101,02,0000448895,3
1,1,01,1,202101,02,0000508058,3
1,1,01,1,202101,02,0000520982,3
1,1,01,1,202101,02,0000541328,3
1,1,01,1,202101,02,0000590015,3
1,1,01,1,202101,02,0000632753,3
1,1,01,1,202101,02,0000727021,3
1,1,01,1,202101,02,0001164414,3
1,1,01,1,202101,02,0001208705,3
1,1,01,1,202101,02,0001293827,3
1,1,01,1,202101,02,0001293827,3
1,1,01,1,202101,02,0001555115,3
1,1,01,1,202101,02,0001555115,3
1,1,01,1,202101,02,0001555115,3
1,1,01,1,202101,02,0001555115,3
1,1,01,1,202101,02,0001801422,3
1,1,01,1,202101,03,0000410862,3
1,1,01,1,202101,03,0000432673,3
1,1,01,1,202101,03,0000432673,3
1,1,01,1,202101,03,0000436233,3
1,1,01,1,202101,03,0000436233,3
1,1,01,1,202101,03,0000476369,3
1,1,01,1,202101,03,0000513079,3
1,1,01,1,202101,03,0000598147,3
1,1,01,1,202101,03,0000619782,3
1,1,01,1,202101,03,0000619782,3
1,1,01,1,202101,03,0000677852,3
1,1,01,1,202101,03,0000677852,3
1,1,01,1,202101,03,0000693760,3
1,1,01,1,202101,03,0000720130,3
1,1,01,1,202101,03,0000722685,3
1,1,01,1,202101,03,0000764757,3
1,1,01,1,202101,03,0000764757,3
1,1,01,1,202101,03,0000818291,3
1,1,01,1,202101,03,0000851257,3
1,1,01,1,202101,03,0000915849,3
1,1,01,1,202101,03,0000915849,3
1,1,01,1,202101,03,0000915849,3
1,1,01,1,202101,03,0001277192,3
1,1,01,1,202101,03,0001447758,3
1,1,01,1,202101,03,0001464028,3
1,1,01,1,202101,03,0001629841,3
1,1,01,1,202101,03,0001772667,3
1,1,01,1,202101,03,0001803261,3
1,1,01,1,202101,03,0001803261,3
1,1,01,1,202101,03,0002087204,3
1,1,01,1,202101,04,0000558889,3
1,1,01,1,202101,04,0000602684,3
1,1,01,1,202101,04,0000673870,3
1,1,01,1,202101,04,0000673870,3
1,1,01,1,202101,04,0000752724,3
1,1,01,1,202101,04,0000779471,3
1,1,01,1,202101,04,0000845346,3
1,1,01,1,202101,04,0001498186,3
1,1,01,1,202101,04,0001498186,3
1,1,01,1,202101,04,0001502985,3
1,1,01,1,202101,04,0001502985,3
1,1,01,1,202101,04,0001657590,3
1,1,01,1,202101,05,0000094724,3
1,1,01,1,202101,05,0000561859,3
1,1,01,1,202101,05,0000632859,3
1,1,01,1,202101,05,0000794551,3
1,1,01,1,202101,05,0001399611,3
1,1,01,1,202101,05,0001412891,3
1,1,01,1,202101,05,0001412891,3
1,1,01,1,202101,05,0001806598,3
1,1,01,1,202101,06,0000655997,3
1,1,01,1,202101,06,0000737083,3
1,1,01,1,202101,06,0000855539,3
1,1,01,1,202101,06,0001055273,3
1,1,01,1,202101,06,0001618813,3
1,1,01,1,202101,07,0000753090,3
1,1,01,1,202101,07,0000792901,3
1,1,01,1,202101,07,0000837484,3
1,1,01,1,202101,07,0001185670,3
1,1,01,1,202101,07,0001226666,3
1,1,01,1,202101,07,0001565825,3
1,1,01,1,202101,08,0000736731,3
1,1,01,1,202101,08,0000807427,3
1,1,01,1,202101,08,0001379429,3
1,1,01,1,202101,08,0001552717,3
1,1,01,1,202101,09,0000399631,3
1,1,01,1,202101,09,0000428565,3
1,1,01,1,202101,09,0000798022,3
1,1,01,1,202101,09,0001458716,3
1,1,01,1,202101,09,0001510624,3
1,1,01,1,202101,10,0000513525,3
1,1,01,1,202101,10,0000815338,3
1,1,01,1,202101,11,0000359767,3
1,1,01,1,202101,11,0000453786,3
1,1,01,1,202101,11,0000472116,3
1,1,01,1,202101,11,0000642382,3
1,1,01,1,202101,11,0001032885,3
1,1,01,1,202101,11,0001065970,3
1,1,01,1,202101,11,0001220865,3
1,1,01,1,202102,01,0000432488,3
1,1,01,1,202102,01,0001223709,3
1,1,01,1,202102,02,0000329199,3
1,1,01,1,202102,02,0000329199,3
1,1,01,1,202102,02,0000478554,3
1,1,01,1,202102,02,0000546068,3
1,1,01,1,202102,02,0000548224,3
1,1,01,1,202102,02,0000581852,3
1,1,01,1,202102,02,0000654182,3
1,1,01,1,202102,02,0000671454,3
1,1,01,1,202102,02,0000671454,3
1,1,01,1,202102,02,0000682854,3
1,1,01,1,202102,02,0001103930,3
1,1,01,1,202102,02,0001269546,3
1,1,01,1,202102,02,0001271711,3
1,1,01,1,202102,02,0001572841,3
1,1,01,1,202102,02,0001572841,3
1,1,01,1,202102,02,0001572841,3
1,1,01,1,202102,02,0001572841,3
1,1,01,1,202102,03,0000422098,3
1,1,01,1,202102,03,0000422098,3
1,1,01,1,202102,03,0000441274,3
1,1,01,1,202102,03,0000500170,3
1,1,01,1,202102,03,0000570257,3
1,1,01,1,202102,03,0000570257,3
1,1,01,1,202102,03,0000634672,3
1,1,01,1,202102,03,0000703369,3
1,1,01,1,202102,03,0000703369,3
1,1,01,1,202102,03,0000743976,3
1,1,01,1,202102,03,0000751375,3
1,1,01,1,202102,03,0000753324,3
1,1,01,1,202102,03,0000765752,3
1,1,01,1,202102,03,0000765752,3
